OBJECTID,URI,FEATURE_TYPE,NAME,OPERATIONAL_STATUS,FEATURE_DATE,FEATURE_SOURCE,ATTRIBUTE_DATE,ATTRIBUTE_SOURCE,SOURCE_UFI,SOURCE_JURISDICTION,CUSTODIAN_AGENCY,CUSTODIAN_LICENSING,LOADING_DATE,RELATIONSHIP,CAPACITY_KV,SHAPE_Length
576,,110008,Parafield Gardens West to Para,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,975,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.133481364
577,,110008,Pelican Point to Parafield Gardens West,Operational,18/03/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,976,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.13323006
578,,110008,Torrens Island B to Cherry Gardens,Operational,18/03/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,977,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.656443182
579,,110008,Torrens Island A to Magill,Operational,18/03/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,978,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.455102097
580,,110008,Para to Roseworthy,Operational,5/01/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,979,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.228724643
581,,110008,Northfield to Ingle Farm,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,980,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.032208394
582,,110008,Monash to Berri,Operational,2/10/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,981,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.033164439
583,,110008,Mintaro to Waterloo,Operational,27/09/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,982,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.16963396
584,,110008,Waterloo to Templers,Operational,16/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,983,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.512106466
585,,110008,Dorrien to Templers,Operational,16/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,984,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.200057543
586,,110008,Dorrien to Templers,Operational,16/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,985,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.19982737
587,,110008,Robertstown to Canowie,Operational,7/03/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,986,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.747873733
588,,110008,Davenport to Mount Lock,Operational,12/01/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,988,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.963970236
589,,110008,Hallett Power Station to Canowie,Operational,7/03/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,989,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.002020408
590,,110008,Robertstown to Mokota,Operational,25/06/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,990,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.512153136
591,,110008,Leigh Creek Coalfield to Leigh Creek South Tee,Operational,14/05/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,992,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.048554466
592,,110008,Leigh Creek South to Leigh Creek South Tee,Operational,14/05/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,993,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.0031284
593,,110008,Neuroodla Tee to Neuroodla,Operational,23/10/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,994,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.042784551
594,,110008,Cultana to Yadnarie,Operational,1/09/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,995,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,1.378380961
595,,110008,Yadnarie to Mount Millar Windfarm,Operational,10/04/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,996,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.340725719
596,,110008,Yadnarie to Wudinna,Operational,24/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,998,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,1.210913228
597,,110008,Port Lincoln Power Station to Port Lincoln Terminal,Operational,11/03/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,999,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.000524658
598,,110008,Port Lincoln Terminal to Sleaford,Operational,2/01/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1000,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.302621297
599,,110008,Cathedral Rocks Wind Farm to Sleaford,Operational,2/01/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1001,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.009279008
600,,110008,Woomera to Pimba,Operational,7/06/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1002,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.118434886
601,,110008,Pimba to Mount Gunson Tee,Operational,7/06/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1003,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.345432779
602,,110008,Pimba to Olympic Dam North,Operational,21/08/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1004,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.850181747
603,,110008,Snowtown to Snowtown Tee,Operational,4/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1005,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.022188244
604,,110008,Bungama to Snowtown Tee,Operational,4/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1007,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.5236559
605,,110008,Dalrymple to Ardrossan West,Operational,20/04/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1008,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.621833368
606,,110008,Wattle Point Wind Farm to Wattle Point Substation,Operational,5/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1009,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.015446627
607,,110008,Snowtown Gas-Fired Generator to Snowtown,Operational,4/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1010,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.000468427
608,,110008,Mount Gunson to Mount Gunson Tee,Operational,7/03/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1019,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.000613677
609,,110008,Olympic Dam West to Olympic Dam North,Operational,21/08/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1020,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.02881283
610,,110008,Olympic Dam West to Olympic Dam North,Operational,21/08/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1021,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.029302154
611,,110008,Olympic Dam West to Prominent Hill,Operational,6/08/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1022,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,1.481532247
612,,110008,Davenport to Neuroodla Tee,Operational,31/01/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1023,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.798309534
613,,110008,Tungkillo to Para,Operational,12/01/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1024,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.411171693
614,,110008,Para to Robertstown,Operational,16/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1025,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,1.388385619
615,,110008,Mount Barker South to Cherry Gardens,Operational,23/02/2013 0:00,Esri World Imagery,14/02/2013 0:00,AEMO-Australian Energy Market Operators 2013,1026,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.374819726
616,,110008,Bungama to Red Hill,Operational,4/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1027,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.36673756
617,,110008,Brinkworth to Red Hill,Operational,4/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1028,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.178609863
618,,110008,Clements Gap Wind Farm to Clements Gap Wind Farm Substation,Operational,4/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1029,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Below Ground,132,0.011867535
619,,110008,Clements Gap Wind Farm Substation to Red Hill,Operational,4/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1030,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.147944166
620,,110008,Hallet 2 Wind Farm to Mokota,Operational,7/03/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1031,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.036464613
621,,110008,Para to Bungama,Operational,16/11/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1032,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.984774012
622,,110008,Bungama to Davenport,Operational,12/01/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1033,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,0.851844671
623,,110008,Hallet 5 Wind Farm to Belalie Substation,Operational,7/03/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1034,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.122638636
624,,110008,Canunda Wind Farm to Snuggery,Operational,29/12/2009 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1035,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,33,0.096936366
625,,110008,Snuggery to South East,Operational,29/12/2009 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1036,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.429182451
626,,110008,Lake Bonney 2 Wind Farm to Mayurra,Operational,29/12/2009 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1037,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.083313121
627,,110008,Osborne Power Station to New Osborne,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1038,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.002576222
628,,110008,Osborne Power Station to New Osborne,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1039,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.002576222
629,,110008,New Osborne to LeFevre,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1040,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.01977772
630,,110008,New Osborne to LeFevre,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1041,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.019311119
631,,110008,Torrens Island to New Osborne,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1042,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.032109486
632,,110008,Torrens Island to New Osborne,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1043,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.032109486
633,,110008,Torrens North to Torrens Island,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1044,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.030824311
634,,110008,Torrens North to Torrens Island,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1045,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.030824311
635,,110008,Quarantine Power Station to Torrens North,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1046,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.000570871
636,,110008,Quarantine Power Station to Torrens North,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1047,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.000570871
637,,110008,Northfield to Hillcrest,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1048,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.026578496
638,,110008,Northfield to Harrow,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1049,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.046534164
639,,110008,Northfield to Clearview,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1050,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.03724961
640,,110008,Northfield to Holden Hill,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1051,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.038060299
641,,110008,Dry Creek Power Station to Dry Creek,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1052,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.000799
642,,110008,Dry Creek Power Station to Dry Creek,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1053,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.000799
643,,110008,Dry Creek Power Station to Dry Creek,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1054,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.000948542
644,,110008,Dry Creek to Northfield,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1055,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.052586464
645,,110008,Kilburn to Croydon,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1056,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.06647139
646,,110008,Dry Creek to Kilburn,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1057,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.001659278
647,,110008,Dry Creek to Kilburn South Tee,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1058,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.018032762
648,,110008,Kilburn South to Kilburn South Tee,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1059,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Below Ground,66,0.002516449
649,,110008,Kilburn South Tee to Prospect,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1060,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.015282707
650,,110008,Torrens Island to Kilburn,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1061,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.104114958
651,,110008,Torrens Island to Athol,Operational,5/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1062,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.061413873
652,,110008,Mortlake Power Station to Mortlake Power Station substation,Operational,12/12/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1063,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.003053481
653,,110008,Anglesea Power Station to Anglesea Power Station substation,Operational,12/10/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1064,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.001066018
654,,110008,Somerton Power Station to Somerton Power Station substation,Operational,8/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1065,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.000463338
655,,110008,Clover Hydro Power Station to Clover Substation,Operational,2/01/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1066,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,66,0.001137391
656,,110008,Eildon Power Station to Eildon Power Station substation,Operational,10/12/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1067,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.002590196
657,,110008,Eildon Power Station to Eildon Power Station substation,Operational,10/12/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1068,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.002590196
658,,110008,Hume Hydro Power Station to Hume,Operational,13/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,1069,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Below Ground,66,0.001210751
